"@timestamp",el,ea,ev,ec,uid
"March 17th 2020, 13:29:20.308",time,DerivativeNormal,240,OrderTiming,6688
"March 17th 2020, 13:27:43.034",time,DerivativeNormal,205,OrderTiming,6688
"March 17th 2020, 13:27:28.492",time,DerivativeNormal,219,OrderTiming,6688
"March 17th 2020, 13:27:20.770",time,DerivativeNormal,234,OrderTiming,6688
"March 17th 2020, 13:26:06.641",time,DerivativeNormal,223,OrderTiming,6688
"March 17th 2020, 13:16:24.226",time,DerivativeNormal,221,OrderTiming,6688
"March 17th 2020, 13:15:55.333",time,DerivativeNormal,219,OrderTiming,6688
"March 17th 2020, 13:15:52.159",time,DerivativeNormal,212,OrderTiming,6688
"March 17th 2020, 13:14:04.499",time,DerivativeNormal,214,OrderTiming,6688
"March 17th 2020, 13:12:46.383",time,DerivativeNormal,216,OrderTiming,6688
"March 17th 2020, 13:10:52.761",time,DerivativeNormal,284,OrderTiming,6688
"March 17th 2020, 13:10:25.263",time,DerivativeNormal,213,OrderTiming,6688
"March 17th 2020, 13:06:37.261",time,DerivativeNormal,226,OrderTiming,6688
"March 17th 2020, 13:05:37.505",time,DerivativeNormal,227,OrderTiming,6688
"March 17th 2020, 13:05:04.555",time,DerivativeNormal,205,OrderTiming,6688
"March 17th 2020, 13:05:00.400",time,DerivativeNormal,218,OrderTiming,6688
"March 17th 2020, 13:04:56.776",time,DerivativeNormal,208,OrderTiming,6688
"March 17th 2020, 13:04:50.636",time,DerivativeNormal,207,OrderTiming,6688
"March 17th 2020, 13:04:40.754",time,DerivativeNormal,215,OrderTiming,6688
"March 17th 2020, 13:04:34.011",time,DerivativeNormal,222,OrderTiming,6688
"March 17th 2020, 13:01:02.764",time,DerivativeNormal,213,OrderTiming,6688
"March 17th 2020, 13:00:54.286",time,DerivativeNormal,216,OrderTiming,6688
"March 17th 2020, 12:53:42.501",time,DerivativeNormal,230,OrderTiming,6688
"March 17th 2020, 12:47:16.340",time,DerivativeNormal,211,OrderTiming,6688
"March 17th 2020, 11:30:12.012",time,DerivativeNormal,229,OrderTiming,6688
