"@timestamp",ev,ea,cid,"browser_name",clientip
"January 31st 2020, 00:00:05.096",7,"Socket reconnected","e54d457f-9864-42dd-a42f-3e75f4c89f06",Firefox,"14.169.171.102"
"January 31st 2020, 00:00:27.825",2,"Socket reconnected","d3acb106-85c7-4205-b4d3-3e2e2938400c",Chrome,"113.181.84.36"
"January 31st 2020, 00:00:29.773",1,"Socket reconnected","d3acb106-85c7-4205-b4d3-3e2e2938400c",Chrome,"113.181.84.36"
"January 31st 2020, 00:00:31.665",504,"Socket reconnected","bd802257-0f9f-4a24-8c24-e13545195aed",Chrome,"103.85.107.242"
"January 31st 2020, 00:00:35.680",127,"Socket reconnected","bacc1bd7-8a95-4126-80b1-9d8fef8223ca",Firefox,"116.118.106.35"
"January 31st 2020, 00:00:39.907",4,"Socket reconnected","ec094b8f-c5a4-4f7c-9033-0db5d0104372",Chrome,"42.114.13.48"
"January 31st 2020, 00:00:51.536",2,"Socket reconnected","57472287-efa0-4d4a-9356-86c6de178857",Chrome,"71.143.199.39"
"January 31st 2020, 00:01:19.169",494,"Socket reconnected","ca53354b-0788-437c-9195-8fb18f022d0c",Chrome,"14.161.38.213"
"January 31st 2020, 00:01:33.649",1,"Socket reconnected","402a7d51-8ae9-4b46-98c8-3ae08edc68dc","Chrome Mobile","27.67.38.71"
"January 31st 2020, 00:01:34.192",4,"Socket reconnected","f6b5806e-e39f-4143-861c-0e702a802586",Chrome,"14.162.147.195"
"January 31st 2020, 00:01:41.214",113,"Socket reconnected","95f1907f-54f0-46cd-9bba-6c49bdfacd82",Chrome,"14.232.154.28"
"January 31st 2020, 00:01:42.491",4,"Socket reconnected","e9822e3a-a4b2-461f-a5ac-050dd6dcf654",Chrome,"14.177.135.241"
"January 31st 2020, 00:01:59.080",6,"Socket reconnected","7064e4a3-e9a2-467d-bcd9-8f5d1f020e3e",Chrome,"42.112.126.118"
"January 31st 2020, 00:02:00.952",1,"Socket reconnected","d6770c86-0c6b-471d-8c37-3b74faef4553","Chrome Mobile","116.102.173.5"
"January 31st 2020, 00:02:01.586",505,"Socket reconnected","bd802257-0f9f-4a24-8c24-e13545195aed",Chrome,"103.85.107.242"
"January 31st 2020, 00:02:03.501",2,"Socket reconnected","402a7d51-8ae9-4b46-98c8-3ae08edc68dc","Chrome Mobile","118.70.68.189"
"January 31st 2020, 00:02:15.659",2,"Socket reconnected","1319c0a8-347e-4e65-a992-a7cdc6f72f51",Chrome,"27.72.100.162"
"January 31st 2020, 00:02:17.114",1,"Socket reconnected","79ef7f40-4345-4315-9dd8-efa9fadef533",Chrome,"118.70.128.50"
"January 31st 2020, 00:02:19.321",495,"Socket reconnected","ca53354b-0788-437c-9195-8fb18f022d0c",Chrome,"14.161.38.213"
"January 31st 2020, 00:02:41.202",114,"Socket reconnected","95f1907f-54f0-46cd-9bba-6c49bdfacd82",Chrome,"113.190.24.106"
